"Player","Games","Win %","Takedowns","Kills","Assists","Deaths","Kill Participation","KDA","Highest Kill Streak","Vengeances","Time Dead","Time Dead %","Deaths While Outnumbered","Escapes","Team Fight Escapes","Hero Damage","DPM","Physical Damage","Ability Damage","Damage per Death","Team Fight Hero Damage","Siege Damage","Structure Damage","Minion Damage","Summon Damage","Creep Damage","Healing","HPM","Healing per Death","Team Fight Healing","Self Healing","Allied Shields","Clutch Heals","Damage Taken","Damage Soaked","Damage Taken per Death","Team Fight Damage Taken","CC Time","Root Time","Silence Time","Stun Time","Time on Fire","XP Contribution","XPM","Merc Camp Captures","Watch Tower Captures","Aces","Wipes","% of Game with Level Adv.","% of Game with Hero Adv.","Passive XP/Second","Passive XP Gained","Altar Damage Done","Damage to Immortal","Dragon Knights Captured","Shrines Captured","Dubloons Held At End","Dubloons Turned In","Skulls Collected","Shrine Minion Damage","Plant Damage","Seeds Collected","Garden Seeds Collected","Gems Turned In","Nuke Damage","Curse Damage","Time On Temple","Damage Done to Zerg","Cage Unlocks Interrupted","Hero Pool","Damage Ratio","% of Team Damage","% of Team Damage Taken","% of Team Damage Healed","% of Time Slow CC","% of Time Non-Slow CC","Votes","Awards","Award %","MVP","MVP %","Bsteps","Bstep TD","Bstep Deaths","Taunts","Taunt TD","Taunt Deaths","Sprays","Spray TD","Spray Deaths","Dances","Dance TD","Dance Deaths"
"HighAdmiral","16","56.3%","9.31","2.31","7.00","2.88","85%","5.13","5.06","0.56","2:08","9%","3.00","1.25","0.19","40690.75","1781.43","44554.06","150322.50","19750.09","22711.81","114165.88","18146.00","84980.69","1129.06","38986.75","60.44","1102.12","13180.49","97.56","24587.88","60.44","0.00","62849.19","49279.81","30740.64","39702.94","3:29","00:03","00:00","00:04","00:00","17989.69","800.69","6.06","0.31","0.19","0.13","27%","13%","27.65","10838.95","0","705.00","0","0","0","0","0","3146.81","0.00","0.00","0.00","0","0","976.56","00:00","0","0.44","7","0.71","21%","29%","0%","14%","1%","0","0","0%","0","0%","0","0","0","0","0","0","32","2","1","11","0","0"
"Serelath","16","56.3%","9.00","0.50","8.50","2.56","80%","4.04","6.13","0.06","2:06","9%","0.94","0.63","0.06","19539.88","861.88","30332.00","38228.56","8086.84","10718.50","33087.31","5028.44","23037.88","1212.75","15778.75","64300.81","2876.62","29138.08","12902.38","317.31","509.88","1.31","31429.25","23740.38","13466.19","18597.94","1:39","00:17","00:26","00:22","00:00","7461.69","330.69","7.00","0.13","0.19","0.13","27%","13%","27.65","10838.95","0","457.13","0","0","0","0","0","654.56","0.00","0.00","0.00","0","0","1115.19","00:00","0","0.38","5","0.62","10%","15%","30%","8%","5%","0","0","0%","0","0%","0","0","0","0","0","0","8","0","0","0","0","0"
"RobbieBlack","16","50%","10.94","0.50","10.44","1.63","93%","7.34","8.00","0.13","1:10","6%","0.75","0.25","0.06","16912.31","866.53","25272.13","22640.44","11145.91","9565.88","20477.44","4244.69","11875.63","1036.69","9827.56","70909.63","3677.55","48384.14","14630.38","1245.31","0.00","1.63","25605.25","20689.88","16063.21","16574.81","6:05","00:14","00:01","00:11","00:00","5618.50","287.74","4.63","0.19","0.06","0.13","30%","16%","26.31","7549.34","1.06","0","0.00","0.19","0","0","0","77.63","0.00","0.00","0.00","1.94","0","0.00","00:00","0","1.25","5","0.74","9%","12%","33%","32%","2%","0","0","0%","0","0%","0","0","0","0","0","0","12","0","0","0","0","0"
"Arco","16","50%","10.94","3.19","7.69","1.81","93%","7.34","7.56","0.50","1:21","7%","0.88","0.63","0.00","55654.06","2853.55","60870.06","123009.13","35464.48","36827.56","103328.50","17680.13","70252.81","2291.75","22537.50","1442.13","389.69","5058.52","0.00","6520.56","35.13","0.00","35098.75","29583.31","21341.01","23505.38","00:52","00:00","00:01","00:00","00:00","12603.38","643.30","2.94","0.06","0.06","0.13","30%","16%","26.31","7549.34","0.56","0","0.25","0.38","0","0","0","586.13","0.00","0.00","0.00","4.31","0","0.00","00:00","0","0.31","5","1.69","28%","16%","1%","5%","0%","0","0","0%","0","0%","0","0","0","0","0","0","8","0","0","0","0","0"
"Mosley","16","50%","9.19","1.25","7.94","2.38","78%","4.66","6.13","0.25","1:40","9%","1.94","0.44","0.00","29486.75","1475.71","45948.31","119978.94","13980.08","20282.94","117873.81","14861.69","90629.63","1749.19","14484.63","0.00","789.22","7637.60","0.00","15514.13","0.00","0.00","60370.31","49572.81","29178.38","39233.81","00:55","00:00","00:02","00:16","00:00","15370.13","782.60","1.81","0.19","0.06","0.13","30%","16%","26.31","7549.34","1.00","0","0.00","0.06","0","0","0","359.00","0.00","0.00","0.00","3.25","0","0.00","00:00","0","0.00","6","0.51","15%","28%","0%","5%","2%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","0","0","0"
"MeDing","16","50%","11.25","5.06","6.19","2.81","97%","6.06","7.69","0.63","1:57","10%","1.00","0.31","0.06","66004.81","3356.95","58840.38","130881.81","33375.62","45478.81","88297.63","18018.69","54322.06","3432.81","34879.69","0.00","206.48","2244.89","366.75","3971.19","0.00","0.00","28814.25","21265.50","14123.72","20699.69","6:40","00:03","00:00","00:06","00:00","10547.94","535.08","4.19","0.00","0.06","0.13","30%","16%","26.31","7549.34","0.00","0","0.13","0.13","0","0","0","659.69","0.00","0.00","0.00","0.19","0","0.00","00:00","0","0.31","4","2.42","33%","13%","0%","34%","1%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Hooley","15","86.7%","14.40","2.73","11.67","2.13","93%","10.05","10.33","0.27","1:34","8%","0.80","1.27","0.20","40146.53","2085.89","67397.60","113481.80","25185.29","27460.67","116152.53","24268.33","85513.07","1668.13","26203.00","134.07","1210.23","13929.83","411.40","22530.07","134.07","0.00","69222.80","63602.53","40762.11","46813.73","1:39","00:00","00:08","00:08","00:00","15660.27","834.10","3.60","0.00","0.60","0.00","53%","23%","28.36","9916.22","1.33","0","0","0","0","0","0","2020.00","0.00","0.00","0.00","0","0","0","00:00","0","0.33","3","0.59","19%","31%","0%","8%","1%","0","0","0%","0","0%","0","0","0","0","0","0","60","3","0","0","0","0"
"biranonell","15","53.3%","6.47","1.87","4.53","2.40","100%","4.09","5.13","0.27","1:11","6%","0.73","1.13","0.20","36373.40","1917.17","69891.07","88219.27","21747.31","22567.53","95185.00","9750.93","78019.33","1517.93","28050.33","794.40","1014.31","10856.41","18.87","18175.93","531.93","0.00","59137.13","53399.73","31864.45","38876.67","1:09","00:01","00:00","00:06","00:00","15499.73","819.25","4.47","0.13","0.07","0.27","16%","14%","26.41","7550.11","0.53","0","0.00","0.07","0","0","0","4587.73","0.00","0.00","0.00","2.13","0","279.00","00:00","0","0.13","4","0.63","21%","28%","1%","7%","1%","0","0","0%","0","0%","0","0","0","0","0","0","1","1","1","0","0","0"
"NightKnight","14","50%","8.07","1.36","6.64","2.50","112%","4.95","5.93","0.21","1:26","9%","1.00","0.36","0.00","27341.36","1464.54","31429.00","59749.93","18504.72","17381.50","49773.36","8653.79","36491.29","368.93","14191.29","43596.36","2901.90","27651.57","10872.71","7809.79","0.00","0.86","40003.21","32204.93","22681.99","26951.71","1:20","00:00","00:00","00:20","00:00","8254.86","447.88","4.29","0.00","0.14","0.21","25%","14%","25.97","6620.44","0.00","0","0.00","0.07","0","0","0","2666.43","0.00","0.00","0.00","1.29","0","203.50","00:00","0","0.14","4","0.70","14%","19%","21%","8%","2%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","1","0","0","0"
"MsSoandSo","13","84.6%","14.92","1.54","13.38","1.08","94%","12.94","11.85","0.15","00:47","4%","0.38","0.31","0.00","17907.69","972.45","20817.15","47292.31","15140.06","8975.38","35246.00","6528.92","24519.08","959.38","15570.77","65539.08","3573.98","56756.17","12071.92","1843.31","0.00","1.23","26141.46","22403.46","21183.65","14810.85","1:18","00:00","00:15","00:04","00:00","7799.08","408.40","7.00","0.00","0.69","0.08","56%","23%","27.69","8968.00","0.62","0","0","0","0","0","0","1645.38","0.00","0.00","0.00","0","0","0","00:00","0","0.23","3","0.72","10%","12%","30%","7%","2%","0","0","0%","0","0%","0","0","0","0","0","0","4","2","0","1","0","0"
