team,division,avgKDA,heroPool,levelTime4,levelTime7,levelTime10,levelTime13,levelTime16,HDM,SDM,HLDM,TFHD,TFDT,TFHL,matchLength,timeSpentDead,ccTime,rootTime,stunTime,silenceTime,minionXP,creepXP,structureXP,heroXP,trickleXP,maxMinionXP
Potential Scrim Thursday,Heroic,6.457777777777777,56,124.9905303030303,111.11742424242424,132.83712121212122,152.72159090909088,153.31818181818187,211.5997592092679,320.8550784344125,75.05031276981441,116761.60606060606,155587,15710.757575757576,991.1193181818181,471.45454545454544,665.7878787878788,17.606060606060606,61.21212121212121,15,35194,2973.4545454545455,3450.757575757576,12759.271121863163,25632.53877397017,15194.333333333336
Inting For Globes,Heroic,7.165,43,114.53125,100.375,123.86538461538464,151.2259615384615,151.26240384615386,189.42646711191577,408.9695027003822,75.86740267653524,92662.84615384616,118322.03846153847,13210.153846153846,909.1754807692307,296.96153846153845,1087.3846153846155,7.884615384615385,56.19230769230769,19.807692307692307,34640.192307692305,2621.769230769231,2776.923076923077,9694.524676983174,24791.6154691256,12535.346153846156
A Solid School,Heroic,4.7202216066482,42,124.80535714285715,115.30178571428571,137.775,170.60000000000002,166.8381696428571,165.85901942914285,310.2871758995873,59.97322865570334,102953.08571428571,149646.74285714285,14371.257142857143,1138.5553571428572,463.4,622.9428571428572,5.628571428571429,46.542857142857144,8.714285714285714,37276.328571428574,4272.109563337053,2492.8571428571427,11724.74609375,30766.505747767857,20639.328571428567
Clouded Minds,B,6.203508771929824,36,123.30952380952381,113.39434523809523,140.98363095238096,165.41071428571433,165.21581010452962,159.3848941618894,341.89955712527706,59.32532821217875,91123.95238095238,118133.59523809524,10418.619047619048,1117.5238095238096,354.1190476190476,910,17.928571428571427,50.73809523809524,17.261904761904763,37296.666666666664,3984.5476190476193,3152.3809523809523,10516.333222888765,31471.373203822546,21900.619047619053
Came From Behind,A,4.6802168021680215,50,125.71381578947368,118.65624999999999,145.0871710526316,167.79107396870558,170.89864864864865,150.10530402797852,332.7554130904889,63.807441009746086,97124.52631578948,137227.55263157896,12574.368421052632,1212.296052631579,459.8421052631579,1446.7368421052631,17.81578947368421,64.21052631578948,32.81578947368421,41316.92105263158,3882,2738.157894736842,10019.923371967516,33554.326705129526,21939.131578947367
Hot(s) Dads,B,7.637614678899083,33,123.14864864864865,117.24662162162161,145.50168918918922,164.99662162162156,173.90878378378386,147.41609196405426,343.92921441540193,55.90389006982143,96424.56756756757,126330.91891891892,12863.027027027027,1153.643581081081,301.8378378378378,2080.9189189189187,12.594594594594595,76.67567567567568,8,38547.2027027027,3689.810810810811,2429.7297297297296,10990.871450063345,30705.3991369299,20124.391891891893
Crit Kickers,A,7.18232044198895,35,121.41477272727273,108.05113636363636,138.13257575757578,155.02083333333326,166.37286931818187,147.53210299080644,383.545269038094,64.05814751730857,86749.9696969697,114721.12121212122,10800.484848484848,1242.657196969697,313.1515151515151,987.6666666666666,10.181818181818182,50.303030303030305,23.696969696969695,46715.69696969697,4466.613784327652,2825.757575757576,9511.725408380682,35036.70325076941,21868.36363636364
Rodney's Imaginary Friends,Heroic,6.75,45,124.08984375,113.708984375,135.794921875,152.3984375,157.45539314516134,177.02254376764176,340.31244399577463,63.07014755953657,97000.84375,126238.625,12157.5,1061.580078125,335.9375,1755.96875,17,59.90625,22.3125,37636.28125,3223.75,2965.625,12258.651802062988,28264.424362182617,16821.03125
FC Hong Kong,D,7.401459854014599,36,127.40151515151516,114.83712121212122,144.0625,160.4204545454545,165.25946969696975,177.5686522601431,330.52232750531016,60.55570097694377,106959.72727272728,134100.18181818182,11985.878787878788,1248.0833333333333,370.6060606060606,508.3939393939394,21.78787878787879,51,19.12121212121212,42387.56060606061,4543.309481534091,3628.787878787879,12957.843653823391,33899.138782848015,21948.166666666664
Roll1Esports,B,4.918644067796611,44,124.71114864864865,120.51520270270271,142.52027027027026,159.86796171171176,170.46220238095236,137.1037064190584,319.99626100398115,59.83178837741535,83874.81081081081,121647.18918918919,7680.405405405405,1226.6570945945946,360.35135135135135,649.6756756756756,32.45945945945946,63.270270270270274,26.756756756756758,43066.91891891892,4419.222682643581,3016.2162162162163,10785.709195523648,33282.79505384291,23404.540540540533
Protectors of Aiur,B,5.972850678733032,37,119.83712121212122,108.1875,136.68749999999997,163.9753787878788,175.70643939393938,159.9744063987052,363.2298264928314,69.77318747655212,93183.18181818182,132023.54545454544,15263.515151515152,1180.9147727272727,316.6969696969697,1359.121212121212,13.909090909090908,53.96969696969697,15.787878787878787,44881.378787878784,3447.705817945076,2508.3333333333335,8937.208695845171,31023.487926136364,19217.16666666667
Protectors of Shakuras,D,6.310469314079422,39,127.744140625,120.365234375,145.220703125,167.859375,169.216796875,150.06195943631724,322.651615850487,63.45496707811322,94387.78125,147162.34375,15313.53125,1229.3125,367.8125,1326,20.9375,64.40625,25.40625,39523.875,4196.216415405273,2509.375,11741.909019470215,34104.214767456055,21252.65625
