team,division,avgKDA,heroPool,levelTime4,levelTime7,levelTime10,levelTime13,levelTime16,HDM,SDM,HLDM,TFHD,TFDT,TFHL,matchLength,timeSpentDead,ccTime,rootTime,stunTime,silenceTime,minionXP,creepXP,structureXP,heroXP,trickleXP,maxMinionXP
Durotan's Couch,Nexus,8.022321428571429,39,118.30714285714286,108.43035714285715,133.25714285714287,153.18035714285708,157.5419117647059,184.10014869064656,358.7648617521434,70.98544313681917,113280.5142857143,135330.37142857144,15012,1061.7089285714285,295.85714285714283,1153.0285714285715,20.485714285714284,61.31428571428572,11.542857142857143,38425.485714285714,3876.0857142857144,3423.5714285714284,11838.368443080357,28383.461886160716,56734.02857142857
Clouded Minds,BW,3.6226415094339623,37,119.92578125,112.001953125,142.244140625,167.0234375,170.32192887931035,152.0152800135294,316.58249755396446,58.77116127809643,105761.625,147818.8125,14091.46875,1261.740234375,503.1875,2968.40625,14.1875,47.75,30.71875,41953.875,4482.389221191406,2810.9375,8233.818817138672,34339.22794342041,69035.625
Spooky Ghosts,BW,3.5443037974683542,40,122.0340909090909,109.58522727272728,137.19128787878788,173.2594696969697,167.79199320794146,166.19607812081878,333.7601117587214,65.25444503538418,104249,154908.51515151514,14466.39393939394,1184.3882575757575,476.1515151515151,2303.939393939394,29.90909090909091,53.93939393939394,28.96969696969697,43618.393939393936,2898.848484848485,1910.6060606060605,9978.182336055872,29396.201682350853,66228.45454545454
Can't Connect Stuns,Nexus,5.985915492957746,37,124.55048076923077,113.76201923076923,134.51923076923077,160.2259615384615,144.4015468227425,169.1553310573387,349.4967929324984,77.8654920808584,97444.53846153847,149074.3076923077,15770.73076923077,1126.6298076923076,366.53846153846155,1531.6153846153845,8.653846153846153,68.88461538461539,15.153846153846153,40104.28846153846,3596.039588341346,2819.230769230769,10942.576246995191,30904.566509540266,59238.230769230766
Team Rainbow Strike Go!,CW,3.992831541218638,43,128.89695945945945,123.90033783783784,146.69763513513516,161.90709459459453,161.5622586872587,167.85153910465218,315.79672986994353,52.76341974576685,91519.91891891892,128981,9326.081081081082,1022.5878378378378,425.6216216216216,989.2972972972973,17.18918918918919,37.16216216216216,22.486486486486488,33829.22972972973,2452.837837837838,2561.4864864864867,10121.848276499155,26172.159113703547,51023.08108108108
ReGen Rebel,CE,2.8051470588235294,39,128.0383064516129,118.95564516129033,154.85282258064518,169.17262235817577,181.00375159642397,153.8014797707814,323.8050126002665,62.372884259920454,95055.41935483871,138326.29032258064,13141.290322580646,1139.086693548387,490.9032258064516,813.516129032258,18.258064516129032,46.935483870967744,29.677419354838708,39415.032258064515,3361.483870967742,2307.2580645161293,8158.326376638105,28540.300340221773,60753.709677419356
Maximum Thrust,DW,3.7789115646258504,38,123.28214285714286,117.17857142857143,146.1875,173.56785714285718,184.8946428571428,162.27822092040049,322.9553449566789,61.95088517177953,100760.88571428572,144979.25714285715,13898.371428571429,1154.8017857142856,486.9428571428571,1579.942857142857,12.942857142857143,46.142857142857146,20.571428571428573,36643.485714285714,3356.4285714285716,2300,9454.079673549108,32005.40357142857,63762.4
Cat Daddies,Nexus,3.5670103092783507,31,121.53125,113.283203125,136.328125,159.81105090725805,161.67137096774195,167.97279895475555,318.2872736129129,58.25872578263237,98972.8125,138586.375,11190.21875,1100.224609375,524.78125,2451.71875,15.5625,68.375,12.4375,40359.21875,2571.8125,2881.25,11379.42113494873,27210.492248535156,59954.3125
Psistorm Probes,BW,3.3795379537953796,47,119.39930555555556,108.3298611111111,138.93229166666666,164.45659722222223,153.76245915032678,162.52824572756666,375.96502743755906,63.96682308960136,113188.16666666667,173140.44444444444,9449.75,1197.2743055555557,469.47222222222223,941.6944444444445,15.833333333333334,47.416666666666664,26.36111111111111,45810.75,3276.5833333333335,3839.5833333333335,10622.796291775174,31399.73629421658,67566.55555555556
Shut Up and Rage!,BE,3.6013513513513513,42,131.38651315789474,119.24671052631578,150.50822368421052,180.35855263157896,180.74242424242425,155.25800949478884,281.5744621363233,60.02950693100217,100627.44736842105,155915.02631578947,12353.447368421053,1167.8980263157894,501.13157894736844,1768.6842105263158,13.131578947368421,48.13157894736842,32.973684210526315,34472.97368421053,3629.2894736842104,1536.1842105263158,9981.305638363487,31974.726254111843,57169.63157894737
