team,division,avgKDA,heroPool,levelTime4,levelTime7,levelTime10,levelTime13,levelTime16,HDM,SDM,HLDM,TFHD,TFDT,TFHL,matchLength,timeSpentDead,ccTime,rootTime,stunTime,silenceTime,minionXP,creepXP,structureXP,heroXP,trickleXP,maxMinionXP
Durotan's Couch,Nexus,5.607476635514018,29,125.36363636363636,112.21022727272727,132.65909090909093,157.40340909090907,155.32386363636363,177.77777531391393,355.0352427677686,73.38270806476682,110301.72727272728,156287.27272727274,15012,1162.5738636363637,432.6363636363636,2486.2727272727275,10.181818181818182,42.81818181818182,9.727272727272727,40755.63636363636,3495.181818181818,3697.7272727272725,11931.378728693182,30384.00206409801,63991.90909090909
Phoenix Rising Amethyst,CW,4.161016949152542,24,118.72916666666667,109.05208333333333,140.33854166666669,174.82291666666669,168.546875,166.54697456883162,369.0822925943799,62.483223645586186,86044.83333333333,130664.75,8880.083333333334,1129.9583333333333,420.25,1044.1666666666667,21.583333333333332,50.25,44,39905.666666666664,3764.3333333333335,2333.3333333333335,8343.997192382812,30099.280924479168,60307.25
Roll1Esports,CW,2.9318181818181817,33,122.80625,125.6,147.29375,167.37638888888893,177.20833333333326,135.63996619322432,325.56795056747717,54.54530339817368,77279.7,117901.6,9848.4,1048.79375,389,994.1,20.9,58.1,21.7,35334.8,2311.4,2455,6862.848803710937,26887.046044921874,57499.2
Tactical Feed,BE,4.776470588235294,30,126.92708333333333,116.95312500000001,150.45833333333334,168.99479166666669,170.44791666666663,168.35557522904904,343.7065120553805,40.86939733497923,98647.91666666667,137085.66666666666,6787.083333333333,1301.296875,492.6666666666667,816.5833333333334,10.083333333333334,69.5,13.916666666666666,45150.666666666664,3912.1666666666665,1900,12018.019612630209,34341.556803385414,72897.91666666667
Bork Side of the Moon,BW,3,27,119.28977272727273,112.80681818181817,137.78977272727272,173.32386363636363,184.75568181818187,166.1296954858779,325.18561874321756,59.93009637950227,105145.54545454546,163184.27272727274,14474.636363636364,1307.1079545454545,643.2727272727273,575.2727272727273,23.09090909090909,59.72727272727273,22.09090909090909,45690,2427.2727272727275,3265.909090909091,10413.934881036932,35349.091841264206,74231.36363636363
YCMYCCaST:Rebels oftheMeta,CE,1.2950819672131149,23,131.39285714285714,140.91964285714286,153.13392857142856,191.2053571428571,179.3357142857143,146.48912204183816,305.7564650617406,57.80721800853529,79129.57142857143,139315.57142857142,12950.57142857143,1060.0535714285713,656.4285714285714,462.42857142857144,19.714285714285715,26.571428571428573,30,34078,2266.4285714285716,1914.2857142857142,6373.918352399553,24190.590924944197,56065.857142857145
Uncle Chens House of Blues,Nexus,6.9,27,124.77272727272727,116.78977272727273,144.26704545454544,159.96590909090907,168.15340909090912,187.8878216803765,321.2401329232885,70.35013102755335,103316.72727272728,154478.81818181818,11403.272727272728,1115.4261363636363,304.72727272727275,510.45454545454544,27.454545454545453,45.72727272727273,28.272727272727273,36671.818181818184,2935.818181818182,2402.2727272727275,12022.72616299716,29863.645441228695,57039
Cream Team,CE,3.4745762711864407,29,128.55625,128.85625000000002,139.91875,178.33750000000003,183.61249999999995,173.71142546805558,315.4627540757533,60.418719724073206,103530,152102.8,13109.5,1266.51875,630.5,1842.3,24.1,69.3,24.9,40461,4108.946630859375,1535,11465.64697265625,34165.99182128906,67360.6
Cats On My Saddle,BE,2.649746192893401,31,119.77884615384616,109.44711538461539,138.52403846153845,163.30769230769226,176.29326923076928,171.90115475390306,332.86254622476247,65.60213971240984,113051.76923076923,167401.76923076922,19141.69230769231,1165.7451923076924,578.4615384615385,1740.923076923077,12.76923076923077,48.84615384615385,17.307692307692307,43631.38461538462,3078.769230769231,1903.8461538461538,8818.517127403846,29684.668288010816,64536.846153846156
NO CC NO PROBLEM,BW,6.2298850574712645,16,122.61458333333333,122.86979166666667,142.125,171.03125,164.4375,165.44355652000846,398.4880933788763,81.13128689954719,102917.33333333333,148200.75,9095.083333333334,1238.2447916666667,385.9166666666667,427.5,26,52.666666666666664,16.333333333333332,44614.166666666664,3226.75,2735.4166666666665,12330.925476074219,34230.446756998695,69316.5
