name,division,nGames,team,KDA,Takedowns,Kill Participation,Hero Damage,DPM,Damage Taken,Healing,HPM,Siege Damage,Team Fight Hero Damage,Team Fight Healing,Team Fight Damage Taken,XP Contribution,XPM,CC Time,Root Time,Silence Time,Stun Time,Time Dead,Time Dead %
Kshizzle#5618425,D,5,Cream Team,6.75,16.2,0.8793257653938769,56700,2932.592021975352,52073.6,90.2,344.10537101183604,60914.2,26783,175.6,35654,9102,425.1035771756163,46,0,5.6,2,112.8,0.07084021681530281
camel#5880131,D,3,YCMYCCaST: Ahsoka (Da Lanes),2.3,7.666666666666667,0.8722222222222222,30024,1655.1870203962055,27756,0,173.59619764523543,49645.666666666664,17071.666666666668,0,16904.666666666668,6719,350.7829414572866,8.666666666666666,6,6,2.6666666666666665,115.66666666666667,0.1127792425534075
Ltlbearista#4225264,D,5,Phoenix Rising Amethyst,10.4,10.4,0.825,10616.6,488.1516734541172,22096.6,69123.2,3320.245566336858,24722.6,4074.8,7098.2,9453.8,5909.4,270.1116881352888,2200.8,16.2,0,7.6,47.8,0.03326045355022493
hunterstag#8186800,D,5,Phoenix Rising Amethyst,4.583333333333333,11,0.9216666666666666,71267.8,3111.5996818048643,30249,0,109.97647946670023,123237.6,23170.4,0,14590.6,14496.4,649.0190752173398,70.2,25.6,22.2,0,102.8,0.07599494381677258
SoulShepherd#2159775,D,5,Phoenix Rising Amethyst,3.7333333333333334,11.2,0.9316666666666666,37425,1697.8545547713177,81156.4,0,908.6967560332884,134418.4,19576,0,43828.4,17892.4,795.0816420750186,169.4,0,6.8,21.8,142.6,0.1038197222266897
ZergPern#7528889,D,4,Phoenix Rising Amethyst,2.75,8.25,0.8194444444444444,31500.75,1390.1081829912796,74882.5,2468,1000.9083302025695,54222.5,22642.25,242,53988.75,7521.5,342.5123936431132,127.25,0,4,24,158.25,0.11589104028267311
chelsi#9385724,D,5,Phoenix Rising Amethyst,11,11,0.9,78323.2,3369.8901227903057,31009,0,0,145168.4,25672.4,0,14585.2,14339.4,638.4515410365523,112.6,0,2.4,0,57.2,0.0399295613121245
Imbuement#5349225,D,3,COSMOS,11.333333333333334,11.333333333333334,0.9371345029239766,55346,2239.2405847085706,39183,0,23.40230611277839,130959,23646,0,14274.666666666666,15162.333333333334,624.3936319190767,1,0,0,1,46,0.027987474122839567
HarkinEH#1937940,D,1,Phoenix Rising Amethyst,4.333333333333333,13,0.65,25134,1096.8560778252568,65624,0,709.6354214019457,179050,13845,0,35360,32605,1422.892990271843,82,0,15,0,174,0.12655695972361125
Porthos#1999667,D,3,Habitual Line Steppers,3.8333333333333335,7.666666666666667,0.8833333333333333,49743,2554.449973610423,33859.333333333336,0,0,100898.33333333333,26340.333333333332,0,19048,11846.666666666666,649.2161541414164,22.666666666666668,0,0,0,86.33333333333333,0.06901233106523712
