team,division,avgKDA,heroPool,levelTime4,levelTime7,levelTime10,levelTime13,levelTime16,HDM,SDM,HLDM,TFHD,TFDT,TFHL,matchLength,timeSpentDead,ccTime,rootTime,stunTime,silenceTime,minionXP,creepXP,structureXP,heroXP,trickleXP,maxMinionXP
Phoenix Rising Amethyst,DW,6.9655172413793105,13,130.91666666666666,107.16666666666669,124.16666666666666,158.08333333333337,172.66666666666663,160.75187273233058,318.7383423545366,81.5591734673859,123087.33333333333,170019.33333333334,18360.666666666668,1270.125,450,3305,1.6666666666666667,32.333333333333336,40,45201,3063,3966.6666666666665,14071.073404947916,36595.597981770836,70596.33333333333
:fensad:,A,4.911764705882353,12,117.6875,104.95833333333334,150.37499999999997,163.12500000000006,175.39583333333326,176.00539640534706,370.73378153817686,62.02440536400317,97984.33333333333,126666.66666666667,8274.333333333334,1331.625,472,505,29.333333333333332,77.66666666666667,51.333333333333336,51065.166666666664,2131.6666666666665,4933.333333333333,13743.729654947916,35423.228759765625,73075
Under Newb Management,Nexus,4.411764705882353,10,114.15625,106,127.53125,140.46875,160.25,142.47219732976373,363.9870492548322,66.54577924101119,102627,155715.5,10359,1383.46875,432.5,713,27.5,50,10,53400,4617.5,1100,8819.586181640625,35796.02978515625,82037.5
It's Ya Boi King Andrew,Heroic,2.9523809523809526,10,117.3125,104.46875,124.875,171.46875,159.84375,142.90027237828608,350.85140343619844,39.40975663830466,53348.5,105650,3485,1052.5625,523,193,5,35.5,20,42353.5,1248,2600,7005.28564453125,23391,58293
Rodney's Imaginary Friends,Heroic,6.2,9,122.1875,106.71875,134.59375,156.6875,164.75,152.64533802812693,365.71860905355766,49.29241998309749,80434,95061,10769.5,1052.5625,228.5,845,0,56.5,12,41872.75,2798.5,7025,10331.8603515625,28569.33544921875,58615
Braincellmates,A,3.6578947368421053,13,118.33333333333333,107.02083333333333,140.39583333333334,181.14583333333337,171.8125,140.05043714565602,318.2627007262279,59.400300883363286,98972,161165.33333333334,6347.666666666667,1331.625,685,748,16.333333333333332,64,25,45567.333333333336,2333.3333333333335,3633.3333333333335,11430.26123046875,32041.521240234375,73024
Cream Team,DW,2.5434782608695654,14,123.625,137.0625,141.77083333333331,174.10416666666669,184.45833333333337,173.2435072110782,301.54653280902653,57.73345140031449,131618.66666666666,170560,14945,1270.125,700.3333333333334,541,30.666666666666668,63.666666666666664,2.6666666666666665,42635.166666666664,2390,3066.6666666666665,11475.337727864584,29392.223714192707,70250.66666666667
Magnitude: Tsunami,Nexus,4.222222222222222,9,109.59375,125.375,125.28125,161.125,171.625,165.1200505919856,427.0998325430688,52.90378130464404,100187.5,149168.5,12741.5,1383.46875,385,955,39,76.5,53,53263.25,5394,3150,9801.776123046875,40314.42639160156,82351
Durotan's Couch,Nexus,3.76,9,122.40625,92.53125,123.5625,176.96875,182.0625,166.61792823725438,390.2631890978106,69.37031561065231,134296,149669.5,26572,1063.15625,503.5,718,17.5,43,4.5,39611.25,4168.5,2025,11441.5283203125,29456.977661132812,59364
FC Hong Kong,C,18.285714285714285,9,130.6875,126,141.5,155.34375,184.03125,163.14055336044802,272.21647712150127,63.78682478288706,77924.5,98463.5,9713.5,1062.625,140,147.5,16.5,41.5,23.5,32996.25,4802,3175,10594.073486328125,26867.809936523438,47548.5
COSMOS,DW,39.666666666666664,8,109.875,110.625,134.0625,148.6875,157.90625,143.339474918897,351.47692075152753,62.44208882140397,76481.5,102582,11502,1020.03125,79.5,2604,0,51.5,0,39750.75,3990,2750,9836.4501953125,29314.171020507812,56730
Magnitude: Aftershock,A,2.206896551724138,11,133.08333333333334,130.37499999999997,152.14583333333337,194.14583333333331,191.47916666666663,106.17180469287003,319.06734995905634,45.34352669240286,54023.666666666664,102751,8142,1109.1875,460.6666666666667,472.6666666666667,0,44,9,34207,4186.666666666667,1383.3333333333333,6288.789876302083,27757.185384114582,51211.666666666664
30 Seconds to Mosh,D,52,5,118.4375,112.9375,121.875,149.8125,135.875,248.90573399289346,380.7895213544207,99.4757890336515,146215,142429,26354,897.0625,62,565,0,75,46,30911,3888,2750,11276.2451171875,24972.143310546875,47968
Start Slow Then Taper Off,A,4.2592592592592595,13,121.0625,116.39583333333334,134.47916666666666,149.29166666666663,154.89583333333337,112.01627613203846,371.93871982448013,78.80968927222985,62338.333333333336,123319,11475.666666666666,1010.7708333333334,360.3333333333333,527,9.333333333333334,61,28.666666666666668,38233.666666666664,1996,2000,6937.51220703125,27217.031656901043,55442
License to Kill,C,1.962962962962963,10,134.84375,117.625,137.46875,195.125,197.59375,169.0418664049031,306.16384669027315,61.374481942137294,107061,174069,14491,1357.78125,611.5,3703,19.5,63.5,2.5,40596.5,5386,1425,6290.24658203125,37812.494140625,66707
CM Daybreak,C,7.679245283018868,13,122.29166666666667,108.56249999999999,157.06250000000003,168.45833333333331,190.77083333333337,180.8629255165588,316.61528862651863,73.51611499109741,132355.33333333334,160881.66666666666,12284.333333333334,1241.625,376.6666666666667,793,26.666666666666668,72.33333333333333,41.333333333333336,37866.166666666664,5059.680989583333,2266.6666666666665,15602.266438802084,33382.35685221354,63758.666666666664
Hot(s) Dads,A,2.95,10,122.71875,100.78125,141.4375,166.625,137.6875,115.55989141082674,349.2991058515263,50.36867441434842,61677,96009.5,8570,996.03125,478,284.5,31,30.5,16.5,35533.25,3256,1550,5973.956298828125,26701.874145507812,54514
Protectors of Shakuras,C,2.8488372093023258,14,126.5,112.22916666666666,152.50000000000003,191.37499999999994,204.64583333333337,164.23799093828077,296.36519464030243,50.78556173982546,120944,194627.33333333334,13748.666666666666,1241.625,729,1413.6666666666667,36.333333333333336,68,12,35605.833333333336,4587.666666666667,1566.6666666666667,8729.313151041666,33750.26700846354,63837.333333333336
Trial by Annihilation,DW,0.7894736842105263,9,124.75,136.03125,143.375,183.34375,164.125,115.57169979621844,334.63612814733744,57.09639235941741,70574,112105.5,9786.5,1020.03125,498,611.5,17.5,9,28,37264.5,2203,900,2306.3232421875,26196.132446289062,56520
The Librarians,A,4.76,14,125.52083333333333,105.66666666666667,124.91666666666669,169.24999999999994,165.625,161.72610926654053,408.48855063018,52.839608382098255,76634.66666666667,89709.33333333333,6044,1010.7708333333334,306,1676.3333333333333,13.333333333333334,51.666666666666664,26,39805.333333333336,2633.3333333333335,1425,7838.02490234375,25981.466715494793,55527.666666666664
Meta Tragedy Simps,Nexus,5.095238095238095,10,117.75,114.1875,124.9375,145.375,168.75,156.30494319038945,325.3379513975511,65.95004210741124,106129,154529,20304,1063.15625,526,1396.5,1,64.5,1.5,33745.25,5246.5,2100,12329.559326171875,30514.719360351562,59448.5
Butcher's Meat Market,C,11.363636363636363,9,126.28125,136.46875,130.75,160.1875,194.9375,167.35680744347331,325.1595654195694,65.9403415721215,127400.5,165009.5,12957.5,1357.78125,261,820,21.5,83.5,9,43397.5,8481,2625,14122.5341796875,39661.24267578125,66981
Let's Spam Dehaka,A,12.357142857142858,12,131.72916666666666,125.39583333333334,133.625,150.70833333333337,159.875,129.99378701901568,303.24773691793376,51.24720257700286,67799.66666666667,88533.33333333333,7885.333333333333,1109.1875,258.3333333333333,427,6.333333333333333,86.66666666666667,31,35999.333333333336,5155.333333333333,1650,9649.15771484375,30608.489095052082,51384.666666666664
Disband Now,C,1.3333333333333333,10,126.8125,128.71875,153.84375,220.90625,186.375,133.2915247097379,230.58006303167446,40.87374955944277,62955,125099,6378.5,1062.625,498.5,495,0,46.5,8.5,29697.25,4062,1675,3807.9833984375,24798.315307617188,47441
Salt Team Six,A,7.909090909090909,9,116.28125,120.0625,135.15625,175.9375,174.96875,136.60260279686418,363.34507425594757,58.753046071974715,59274.5,80135.5,8370.5,996.03125,224,566.5,0,34.5,32.5,35932.5,3728,1625,10469.036865234375,24811.735717773438,54460
Roll1Esports,BW,6.266666666666667,9,121.53125,116.25,141.65625,188.21875,142.625,167.23415260164415,297.3090286594128,43.08796350794171,80871,85881,7534,986.125,260.5,391,63.5,59,0,32988.5,1976.5,6200,9553.265380859375,23202.075439453125,54416
Gen.M Esports,A,4.117647058823529,13,120.29166666666667,105.22916666666667,138.56249999999997,147.66666666666669,161.375,220.40200892203006,410.03623020654976,80.45940022484297,167189.33333333334,181271.66666666666,13889.666666666666,1322.3541666666667,555.3333333333334,827.3333333333334,34,66.33333333333333,63,53516.666666666664,4002.6666666666665,2533.3333333333335,9028.963216145834,36618.88623046875,73773.33333333333
The Part Timers,A,4.46875,14,118.58333333333333,119.79166666666667,134.25,179.8125,183,187.74831167340676,423.674545804902,90.50927593796315,109579.33333333333,187252,23931,1322.3541666666667,471,1556.6666666666667,15,46.666666666666664,4.666666666666667,50338.333333333336,3304.3333333333335,2183.3333333333335,12887.727864583334,35159.50927734375,73750.33333333333
Suds With Buds,BW,3.8,10,123.5,136.6875,125.71875,178.96875,180.375,101.93502385037964,233.013271294359,57.09590374282966,57616.5,124490,2516.5,986.125,394.5,373.5,7.5,23.5,53.5,32690.5,1725,1875,7009.442138671875,21873,54345
