name,division,nGames,team,KDA,Takedowns,Kill Participation,Hero Damage,DPM,Damage Taken,Healing,HPM,Siege Damage,Team Fight Hero Damage,Team Fight Healing,Team Fight Damage Taken,XP Contribution,XPM,CC Time,Root Time,Silence Time,Stun Time,Time Dead,Time Dead %
Serelath#793313,BW,14,Macro Machines,7.24,12.928571428571429,0.9706452486527676,34762.28571428572,1875.0069538351527,33798.57142857143,47301.07142857143,2404.2311350579357,37734.21428571428,20843.285714285714,7779.428571428572,19465.785714285714,8193.92857142857,411.25495800400085,1225.2857142857142,9.357142857142858,1.9285714285714286,4.285714285714286,76.35714285714286,0.06192739675374288
imabirb#5325333,BW,12,Macro Machines,4.666666666666667,9.333333333333334,0.7264357474883791,35378.833333333336,1629.7754842448546,72460.66666666667,0,1390.2557485615553,156085.66666666666,18437.083333333332,0,36501.083333333336,23002.25,1148.9567201735076,88.25,0,8.5,11.333333333333334,88.41666666666667,0.07017358965577396
waterlong#816048,BW,14,Macro Machines,8.047619047619047,12.071428571428571,0.9794858024181332,78100.14285714286,3669.142027114655,36034.28571428572,33343.857142857145,2291.5380290387848,87084.35714285714,26768.64285714286,13357.07142857143,17976.5,10370.785714285714,508.9502496829784,243.57142857142858,1.5714285714285714,3.9285714285714284,6,66.21428571428571,0.05377398458116608
Nova#1152217,BW,12,Macro Machines,10.357142857142858,12.083333333333334,0.9136313004734058,54176.25,2634.1487224815705,33493.25,0,224.73896874461278,113238.75,22055.25,0,17967.75,14328.416666666666,683.8505416268682,70.75,0,0,5,47.166666666666664,0.03699348328712353
valkslays#783854,BW,15,Macro Machines,6.517241379310345,12.6,0.9792021720969089,41498.86666666667,2024.5826431600692,95733,5364.133333333333,1854.4036662552994,68249.6,30523.2,0,71613.73333333334,9596.066666666668,475.03554156251874,155.53333333333333,0,0,26.666666666666668,86.86666666666666,0.0678499371783253
Silverspy#8798379,BW,13,Bork Side of the Moon,2.761904761904762,8.923076923076923,0.9065685776212091,20267.923076923078,971.0667944704587,37508.769230769234,71442.23076923077,3361.4649388739604,28487.076923076922,10389.461538461539,13213.76923076923,20431.923076923078,6037.538461538462,289.7617691871594,203.30769230769232,7.384615384615385,11.23076923076923,12,121.92307692307692,0.10374352309033684
Smoke#177238,BW,13,Bork Side of the Moon,2.625,6.461538461538462,0.6267106646363612,29171.846153846152,1440.8493234631035,59084.307692307695,0,1069.947897220953,116690.69230769231,13558.76923076923,0,27836.384615384617,17330.076923076922,863.2323659664473,28.307692307692307,1.4615384615384615,0.6923076923076923,10.23076923076923,114.84615384615384,0.09141761464758616
griZZly64#1902209,BW,13,Bork Side of the Moon,2.558139534883721,8.461538461538462,0.847902896896705,59417.53846153846,2786.782611992166,42310.92307692308,988.3076923076923,588.6174792435393,88991,30144.384615384617,61.84615384615385,24772.923076923078,12007.923076923076,580.8281838596366,99,3.8461538461538463,3.923076923076923,5.3076923076923075,134.15384615384616,0.11411724572280117
Atd09#9466952,BW,13,Bork Side of the Moon,2.3191489361702127,8.384615384615385,0.8600386197909418,29380.23076923077,1433.9953160143282,91296.61538461539,772.3076923076923,1748.6784851055413,52204,20685.23076923077,112.07692307692308,66033,8614.538461538461,414.3291873275702,99.15384615384616,0,0,29.076923076923077,149.15384615384616,0.12015965346426737
Psyqo#8742524,BW,13,Bork Side of the Moon,2.891891891891892,8.23076923076923,0.8318737763784204,66052,3112.5241966080553,36701.46153846154,0,293.1982133353876,125089.76923076923,23444.846153846152,0,18375.384615384617,14071.923076923076,672.6080798613549,122.84615384615384,10.615384615384615,6.769230769230769,0.38461538461538464,115.76923076923077,0.0973717431777022
Rayvenx#120902,BE,22,Crowd Control Syndicate,8.137931034482758,10.727272727272727,0.8945942945942946,67012.45454545454,2996.6853648125366,28240.636363636364,3301.818181818182,253.06707225131592,147038.9090909091,25812.545454545456,718.5909090909091,14238.59090909091,16192.363636363636,738.3423279307941,397.8636363636364,4.181818181818182,2.5454545454545454,2.772727272727273,59.63636363636363,0.04688477482684199
Blañk#4859953,BE,22,Crowd Control Syndicate,2.859375,8.318181818181818,0.7401256608810086,36626.181818181816,1704.2434047768124,65668.18181818182,603.2272727272727,1152.23437008357,155313.5909090909,17996.136363636364,0,32854.5,19558.227272727272,906.9955345868625,120.36363636363636,6.863636363636363,0.36363636363636365,15.318181818181818,132.6818181818182,0.09293538193028375
CodeMonkey#4372788,BE,19,Crowd Control Syndicate,7.038461538461538,9.631578947368421,0.8059202493413021,14099.368421052632,669.0978949162437,29081.315789473683,78105.47368421052,3527.060431321297,43706.31578947369,7199.315789473684,11810.263157894737,16205.315789473685,7631.8421052631575,346.94648672779687,1341.1052631578948,0,1.3157894736842106,3.6842105263157894,66.36842105263158,0.04961628109615877
